idx,sat_name,cen_name,living_street,motorway,motorway_link,primary,primary_link,residential,secondary,secondary_link,tertiary,trunk,trunk_link,unclassified,oneway,grade,n1,n1_ele,n1_lat,n1_lon,n1_x,n1_y,n2,n2_ele,n2_lat,n2_lon,n2_x,n2_y,perp1_x,perp1_y,perp2_x,perp2_y,name,city_name,city_idx,osmid,lanes
23,satelliteImage3/washington/washington_23_sat.png,centerLineImage3/washington/washington_23_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.002,49784601,47.545,38.967068,-77.047474,213.4977195,369.165783,49784603,47.596,38.967304,-77.04736,298.5022805,142.8340285,136.172535,210.9957933,375.827465,301.0042067,Beach Drive Northwest,washington,23,90291938,2
24,satelliteImage3/washington/washington_24_sat.png,centerLineImage3/washington/washington_24_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,-0.027,49802937,90.844,38.977486,-77.021061,246.6793244,238.7349001,49802934,90.723,38.97745,-77.021036,265.3206756,273.2650955,143.3653531,316.8065484,368.6346469,195.1934516,Blair Road Northwest,washington,24,131462971,2
25,satelliteImage3/washington/washington_25_sat.png,centerLineImage3/washington/washington_25_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.038,4082353858,43.282,38.9597583,-77.0402835,262.1516459,282.7062703,49784509,43.526,38.959814,-77.0403,249.8483541,229.2937192,131.2663317,284.7317247,380.7336683,227.2682753,Beach Drive Northwest,washington,25,640524608,2
26,satelliteImage3/washington/washington_26_sat.png,centerLineImage3/washington/washington_26_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.012,49743775,90.394,38.869345,-76.947572,237.8806067,272.3768679,4339624967,90.46,38.8693792,-76.9475234,274.1193933,239.6231282,170.1717129,161.0394548,341.8282871,350.9605452,Alabama Avenue Southeast,washington,26,130802353,2
27,satelliteImage3/washington/washington_27_sat.png,centerLineImage3/washington/washington_27_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.029,49896725,88.258,38.979949,-77.059117,204.5498709,267.0308665,49896722,88.616,38.979972,-77.058979,307.4501291,244.9691317,229.1666949,130.8442021,282.8333051,381.1557979,Chestnut Street Northwest,washington,27,6063342,2
28,satelliteImage3/washington/washington_28_sat.png,centerLineImage3/washington/washington_28_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.017,49856742,51.404,38.869948,-76.961994,-18.02786134,112.3422144,49856744,52.6,38.869648,-76.961259,530.0278613,399.6574824,196.5684021,369.3661553,315.4315979,142.6338447,Pennsylvania Avenue Southeast,washington,28,118727302,4
29,satelliteImage3/washington/washington_29_sat.png,centerLineImage3/washington/washington_29_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,-0.003,3007114559,8.846,38.8896533,-77.051304,240.9377883,289.2420947,3007114591,8.823,38.8897227,-77.0512636,271.0622117,222.7578891,139.4099721,203.1723046,372.5900279,308.8276954,Lincoln Memorial Circle Northwest,washington,29,736634388,5
30,satelliteImage3/washington/washington_30_sat.png,centerLineImage3/washington/washington_30_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,-0.124,49787857,42.231,38.9231702,-77.0525613,250.9668352,228.8762213,49787855,41.437,38.9231136,-77.0525478,261.0331648,283.1237679,130.1484218,279.3533781,381.8515782,232.6466219,Shoreham Drive Northwest,washington,30,814332241,2
31,satelliteImage3/washington/washington_31_sat.png,centerLineImage3/washington/washington_31_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.063,5457560431,56.225,38.8778204,-76.9313119,244.852472,193.5497951,49798891,57.149,38.87769,-76.931282,267.147528,318.4501476,129.9917729,278.4928146,382.0082271,233.5071854,Benning Road Southeast,washington,31,203010878,4
32,satelliteImage3/washington/washington_32_sat.png,centerLineImage3/washington/washington_32_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.041,49867937,26.733,38.943026,-77.047901,229.1564544,241.1400592,49867939,27.023,38.942995,-77.047829,282.8435456,270.8599376,194.007186,367.9861197,317.992814,144.0138803,Blagden Avenue Northwest,washington,32,6062065,2
33,satelliteImage3/washington/washington_33_sat.png,centerLineImage3/washington/washington_33_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.011,49784692,48.851,38.971458,-77.042619,206.414006,267.5090894,49784693,48.978,38.971482,-77.042486,305.5859939,244.4909087,227.0600357,131.3144817,284.9399643,380.6855183,Beach Drive Northwest,washington,33,958914394,2
34,satelliteImage3/washington/washington_34_sat.png,centerLineImage3/washington/washington_34_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.006,49823785,26.192,38.8892303,-76.9916523,268.0423128,251.8806883,9590374858,26.21,38.8892217,-76.9916846,243.9576872,260.1193115,214.5718216,134.8896948,297.4281784,377.1103052,North Carolina Avenue Southeast,washington,34,237100955,2
35,satelliteImage3/washington/washington_35_sat.png,centerLineImage3/washington/washington_35_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,-0.022,49784987,17.239,38.93561,-77.047596,253.3902109,292.4270264,49784990,17.054,38.935686,-77.047589,258.6097892,219.5729541,128.3272466,246.8529762,383.6727534,265.1470238,Beach Drive Northwest,washington,35,83008207,2
36,satelliteImage3/washington/washington_36_sat.png,centerLineImage3/washington/washington_36_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.005,49864197,2.414,38.868524,-77.002852,267.9304647,233.9728945,49864199,2.384,38.868478,-77.002884,244.0695353,278.0270984,143.4487405,195.0392422,368.5512595,316.9607578,Anacostia Drive Southeast,washington,36,521659459,2
37,satelliteImage3/washington/washington_37_sat.png,centerLineImage3/washington/washington_37_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.043,49895773,18.37,38.929112,-77.044216,240.7140921,224.3689173,49895774,18.723,38.929046,-77.044175,271.2859079,287.631068,140.7518437,311.6943665,371.2481563,200.3056335,Beach Drive Northwest,washington,37,130676632,2
38,satelliteImage3/washington/washington_38_sat.png,centerLineImage3/washington/washington_38_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.012,49761245,94.902,38.960254,-77.056212,254.8815189,300.1112095,49761247,95.022,38.960346,-77.056209,257.1184811,211.8887619,128.0411273,252.7554839,383.9588727,259.2445161,27th Street Northwest,washington,38,137999631,2
39,satelliteImage3/washington/washington_39_sat.png,centerLineImage3/washington/washington_39_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.03,49802758,80.064,38.967566,-77.013905,270.1674269,286.689223,49802760,80.297,38.96763,-77.013943,241.8325732,225.3107631,139.7857621,309.6493329,372.2142379,202.3506671,Blair Road Northwest,washington,39,6057779,3
40,satelliteImage3/washington/washington_40_sat.png,centerLineImage3/washington/washington_40_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.087,49760813,73.028,38.863897,-76.970649,246.9775861,235.7459579,1560689908,73.476,38.8638547,-76.9706248,265.0224139,276.2540361,139.0763398,308.0851004,372.9236602,203.9148996,Naylor Road Southeast,washington,40,583910181,2
41,satelliteImage3/washington/washington_41_sat.png,centerLineImage3/washington/washington_41_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.001,49798808,31.664,38.884002,-76.935015,276.5054862,300.0638282,49798805,31.673,38.884094,-76.93507,235.4945138,211.9361432,139.9504515,310.0046506,372.0495485,201.9953494,Benning Road Southeast,washington,41,130676637,4
42,satelliteImage3/washington/washington_42_sat.png,centerLineImage3/washington/washington_42_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,0.018,5277583770,6.165,38.8782488,-76.9680221,249.9974849,231.0006039,5277583721,6.271,38.8781966,-76.968006,262.002515,280.9993869,131.5374325,285.8842648,380.4625675,226.1157352,Anacostia Drive Southeast,washington,42,6061887,2
43,satelliteImage3/washington/washington_43_sat.png,centerLineImage3/washington/washington_43_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.005,49849172,45.278,38.92345,-76.99027,257.8641351,287.149352,49845161,45.245,38.923515,-76.990275,254.1358649,224.8506337,128.2285977,263.6464866,383.7714023,248.3535134,12th Street Northeast,washington,43,130927086,2
44,satelliteImage3/washington/washington_44_sat.png,centerLineImage3/washington/washington_44_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.102,49787838,36.454,38.9227383,-77.0522608,278.034077,277.5647182,49787841,37.181,38.9227833,-77.0523199,233.965923,234.435275,166.4698861,347.4787336,345.5301139,164.5212664,Shoreham Drive Northwest,washington,44,814332241,2
45,satelliteImage3/washington/washington_45_sat.png,centerLineImage3/washington/washington_45_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.059,49760738,44.109,38.867459,-76.970287,263.4565405,282.3363714,49760737,43.732,38.867514,-76.970307,248.5434596,229.6636184,132.8411178,290.8696103,379.1588822,221.1303897,Naylor Road Southeast,washington,45,131462998,2
46,satelliteImage3/washington/washington_46_sat.png,centerLineImage3/washington/washington_46_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,-0.026,49746968,37.236,38.878545,-76.948977,224.3097031,334.542551,49746970,36.725,38.878709,-76.948892,287.6902969,177.4573584,137.2979229,208.1061915,374.7020771,303.8938085,Fort Davis Drive Southeast,washington,46,126795686,2
47,satelliteImage3/washington/washington_47_sat.png,centerLineImage3/washington/washington_47_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,-0.121,9123061509,10.944,38.9200562,-77.0524189,297.0855379,234.2444248,49895954,9.635,38.9200108,-77.0525291,214.9144621,277.7555683,196.1008996,142.8801619,315.8991004,369.1198381,Rock Creek and Potomac Parkway Northwest,washington,47,50524888,4
48,satelliteImage3/washington/washington_48_sat.png,centerLineImage3/washington/washington_48_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,0.008,49877433,1.802,38.879373,-76.974258,348.3119707,215.2436396,49877440,1.995,38.8792879,-76.9745056,163.6880293,296.756336,204.3016929,138.9048035,307.6983071,373.0951965,M Street Southeast,washington,48,6280736,2
49,satelliteImage3/washington/washington_49_sat.png,centerLineImage3/washington/washington_49_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.031,2619747665,11.066,38.8961308,-77.0097082,82.07619412,256,3001019042,12.329,38.8961308,-77.0092417,429.9238059,256,256,128,256,384,E Street Northwest,washington,49,130808339,2
50,satelliteImage3/washington/washington_50_sat.png,centerLineImage3/washington/washington_50_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.013,49742230,14.467,38.926082,-77.108773,346.2614221,366.5604049,49742232,14.889,38.9263127,-77.1090151,165.7385779,145.4394154,156.8468622,336.9484729,355.1531378,175.0515271,Canal Road Northwest,washington,50,469107787,3
51,satelliteImage3/washington/washington_51_sat.png,centerLineImage3/washington/washington_51_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.043,49859775,40.957,38.93377,-77.045607,257.4913081,242.1005793,49859773,41.098,38.933741,-77.045611,254.5086919,269.8994178,128.7304516,242.3448894,383.2695484,269.6551106,Park Road Northwest,washington,51,29211232,2
52,satelliteImage3/washington/washington_52_sat.png,centerLineImage3/washington/washington_52_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.014,2607280306,65.583,38.9377571,-77.0597855,335.9713963,432.3410865,49820686,66.229,38.938125,-77.06,176.0286037,79.658456,139.4273758,308.8660882,372.5726242,203.1339118,Connecticut Avenue Northwest,washington,52,435273201,6
53,satelliteImage3/washington/washington_53_sat.png,centerLineImage3/washington/washington_53_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,0.023,427124850,22.828,38.9398493,-77.0526873,230.1630874,411.639118,49829239,23.664,38.940174,-77.052618,281.8369126,100.3605256,129.7280568,235.0382169,382.2719432,276.9617831,Shoemaker Street Northwest,washington,53,6059868,2
54,satelliteImage3/washington/washington_54_sat.png,centerLineImage3/washington/washington_54_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.019,9121139956,17.285,38.9355684,-77.0476021,259.0944643,229.1590614,49784985,17.403,38.9355124,-77.0476104,252.9055357,282.840928,128.8422723,241.3401131,383.1577277,270.6598869,Beach Drive Northwest,washington,54,83008207,2
55,satelliteImage3/washington/washington_55_sat.png,centerLineImage3/washington/washington_55_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.063,49753214,74.808,38.937379,-77.062925,236.9858219,255.0413704,49753213,74.529,38.937377,-77.062874,275.0141781,256.9586296,249.5548653,383.8376323,262.4451347,128.1623677,Porter Street Northwest,washington,55,130908219,2
56,satelliteImage3/washington/washington_56_sat.png,centerLineImage3/washington/washington_56_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.153,49837823,61.058,38.959838,-77.03889,267.9304647,262.7125341,49837825,60.571,38.959852,-77.038922,244.0695353,249.2874652,193.2348557,367.5550836,318.7651443,144.4449164,Morrow Drive Northwest,washington,56,6060545,2
57,satelliteImage3/washington/washington_57_sat.png,centerLineImage3/washington/washington_57_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,-0.027,49814211,26.414,38.936478,-77.040563,242.2054002,267.982719,49814209,26.298,38.936503,-77.040526,269.7945998,244.0172789,172.0593331,159.3668564,339.9406669,352.6331436,Piney Branch Parkway Northwest,washington,57,6058389,2
58,satelliteImage3/washington/washington_58_sat.png,centerLineImage3/washington/washington_58_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.022,49883010,30.474,38.887616,-76.952983,231.3934165,260.7897888,49883012,30.601,38.887626,-76.952917,280.6065835,251.2102108,231.5432205,130.358184,280.4567795,381.641816,B Street Southeast,washington,58,50716418,2
59,satelliteImage3/washington/washington_59_sat.png,centerLineImage3/washington/washington_59_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.002,49894076,2.736,38.88033,-77.041329,267.5576377,255.5210703,49894075,2.742,38.880329,-77.04136,244.4423623,256.4789298,250.7004357,128.1097556,261.2995643,383.8902444,Ohio Drive Southwest,washington,59,6063231,3
60,satelliteImage3/washington/washington_60_sat.png,centerLineImage3/washington/washington_60_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.018,49716616,10.77,38.823464,-77.005238,327.5827883,318.2111397,49716613,11.175,38.823594,-77.00543,184.4172117,193.7888035,172.0358227,352.6127162,339.9641773,159.3872838,South Capitol Street Southeast,washington,60,535462113,4
61,satelliteImage3/washington/washington_61_sat.png,centerLineImage3/washington/washington_61_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,-0.042,4630199453,45.614,38.9230596,-77.0512343,212.1555422,157.4728395,269372763,44.571,38.922854,-77.0511167,299.8444578,354.5270177,139.0562038,308.0398744,372.9437962,203.9601256,Connecticut Avenue Northwest,washington,61,468487076,4
62,satelliteImage3/washington/washington_62_sat.png,centerLineImage3/washington/washington_62_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,-0.024,5443106657,30.225,38.8330628,-77.0083944,248.2451979,175.64117,49716503,29.771,38.8328949,-77.0083736,263.7548021,336.3587352,128.5918808,268.2951682,383.4081192,243.7048318,South Capitol Street Southeast,washington,62,455234174,4
63,satelliteImage3/washington/washington_63_sat.png,centerLineImage3/washington/washington_63_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.066,49773847,23.523,38.8367052,-77.0006546,273.0009122,185.9755843,49773845,22.415,38.8365589,-77.0007002,238.9990878,326.0243438,131.6134858,225.8007435,380.3865142,286.1992565,4th Street Southeast,washington,63,6055658,2
64,satelliteImage3/washington/washington_64_sat.png,centerLineImage3/washington/washington_64_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.185,49815245,53.317,38.96337,-77.038898,272.0315619,242.094774,49815247,52.405,38.963341,-77.038941,239.968438,269.9052231,172.130306,159.3052513,339.869694,352.6947487,Joyce Road Northwest,washington,64,137999541,2
65,satelliteImage3/washington/washington_65_sat.png,centerLineImage3/washington/washington_65_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.01,49852740,6.572,38.895639,-76.971615,297.7566265,239.2338481,49852738,6.471,38.895604,-76.971727,214.2433735,272.7661478,208.3063165,137.2173727,303.6936835,374.7826273,Oklahoma Avenue Northeast,washington,65,6061381,2
66,satelliteImage3/washington/washington_66_sat.png,centerLineImage3/washington/washington_66_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.004,9611929403,25.887,38.9119692,-77.0412725,132.4824075,424.51486,8199982122,25.705,38.9123209,-77.0409412,379.5175925,87.48472247,152.7625979,180.329406,359.2374021,331.670594,New Hampshire Avenue Northwest,washington,66,1044606408,2
67,satelliteImage3/washington/washington_67_sat.png,centerLineImage3/washington/washington_67_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.002,49752929,49.142,38.969552,-77.046714,277.6239673,277.5789635,49752931,49.129,38.969597,-77.046772,234.3760327,234.4210296,165.5846563,346.6038941,346.4153437,165.3961059,Bingham Drive Northwest,washington,67,6054324,2
68,satelliteImage3/washington/washington_68_sat.png,centerLineImage3/washington/washington_68_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,-0.085,8204545507,72.532,38.946092,-77.0038172,102.3207015,335.576083,3667966647,69.127,38.946258,-77.003405,409.6792986,176.4238238,197.1432013,142.334362,314.8567987,369.665638,Bates Road Northeast,washington,68,6055618,2
69,satelliteImage3/washington/washington_69_sat.png,centerLineImage3/washington/washington_69_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,0.007,49795079,4.256,38.90012,-76.95988,237.3586489,272.2881507,49795081,4.295,38.900154,-76.95983,274.6413511,239.7118454,171.7788738,159.6111941,340.2211262,352.3888059,Anacostia Avenue Northeast,washington,69,112268484,2
70,satelliteImage3/washington/washington_70_sat.png,centerLineImage3/washington/washington_70_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.054,49741533,14.802,38.824816,-77.002874,235.4572311,218.0983676,5443056562,15.338,38.8247368,-77.0028189,276.5427689,293.9016113,143.4664532,316.9934493,368.5335468,195.0065507,Livingston Road Southeast,washington,70,6053684,2
71,satelliteImage3/washington/washington_71_sat.png,centerLineImage3/washington/washington_71_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.019,7532317817,83.464,38.8654618,-76.9516377,216.9650108,273.8124624,49743678,83.653,38.865499,-76.951533,295.0349892,238.1875329,202.861975,139.5510829,309.138025,372.4489171,Alabama Avenue Southeast,washington,71,468835471,4
72,satelliteImage3/washington/washington_72_sat.png,centerLineImage3/washington/washington_72_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,-0.001,49743155,45.863,38.911584,-77.089716,236.6129948,234.438678,49743153,45.855,38.911539,-77.089664,275.3870052,277.5613152,160.8184504,341.5831328,351.1815496,170.4168672,MacArthur Boulevard Northwest,washington,72,130754654,4
